datetime_,temp_
20201110-19:30,25.2
20201110-19:35,25.2
20201110-19:40,25.2
20201110-19:45,25.2
20201110-19:50,25.3
20201110-19:55,25.2
20201110-20:00,25.2
20201110-20:05,25.2
20201110-20:10,25.1
20201110-20:15,25.1
20201110-20:20,25.2
20201110-20:25,25.1
20201110-20:30,25.1
20201110-20:35,25.1
20201110-20:40,25.1
20201110-20:45,25.1
20201110-20:50,25.2
20201110-20:55,25.1
20201110-21:00,25.1
20201110-21:05,25.1
20201110-21:10,25.1
20201110-21:15,25.1
20201110-21:20,25.1
20201110-21:25,25.1
20201110-21:30,25.2
20201110-21:35,25.1
20201110-21:40,25.1
20201110-21:45,25.2
20201110-21:50,25.1
20201110-21:55,25.1
20201110-22:00,25.1
20201110-22:05,25.1
20201110-22:10,25.1
20201110-22:15,25.1
20201110-22:20,25.1
20201110-22:25,25
20201110-22:30,25
20201110-22:35,25
20201110-22:40,25
20201110-22:45,25
20201110-22:50,25
20201110-22:55,25
20201110-23:00,25
20201110-23:05,24.9
20201110-23:10,24.9
20201110-23:15,24.9
20201110-23:20,24.9
20201110-23:25,24.9
20201110-23:30,24.9
20201110-23:35,24.9
20201110-23:40,24.8
20201110-23:45,24.8
20201110-23:50,24.8
20201110-23:55,24.8
20201111-00:00,24.8
20201111-00:05,24.8
20201111-00:10,24.8
20201111-00:15,24.7
20201111-00:20,24.7
20201111-00:25,24.7
20201111-00:30,24.7
20201111-00:35,24.7
20201111-00:40,24.7
20201111-00:45,24.6
20201111-00:50,24.7
20201111-00:55,24.7
20201111-01:00,24.6
20201111-01:05,24.7
20201111-01:10,24.7
20201111-01:15,24.7
20201111-01:20,24.7
20201111-01:25,24.6
20201111-01:30,24.6
20201111-01:35,24.4
20201111-01:40,24.6
20201111-01:45,24.6
20201111-01:50,24.6
20201111-01:55,24.4
20201111-02:00,24.4
20201111-02:05,24.3
20201111-02:10,24.4
20201111-02:15,24.3
20201111-02:20,24.3
20201111-02:25,24.3
20201111-02:30,24.3
20201111-02:35,24.3
20201111-02:40,24.2
20201111-02:45,24.3
20201111-02:50,24.3
20201111-02:55,24.2
20201111-03:00,24.3
20201111-03:05,24.2
20201111-03:10,24.2
20201111-03:15,24.1
20201111-03:20,24.2
20201111-03:25,24.2
20201111-03:30,24.2
20201111-03:35,24.2
20201111-03:40,24.1
20201111-03:45,24.1
20201111-03:50,24.1
20201111-03:55,24.1
20201111-04:00,24.1
20201111-04:05,24
20201111-04:10,24
20201111-04:15,24
20201111-04:20,24
20201111-04:25,23.9
20201111-04:30,24
20201111-04:35,24
20201111-04:40,24
20201111-04:45,23.9
20201111-04:50,23.9
20201111-04:55,23.9
20201111-05:00,23.9
20201111-05:05,23.9
20201111-05:10,23.9
20201111-05:15,23.9
20201111-05:20,23.9
20201111-05:25,23.8
20201111-05:30,23.8
20201111-05:35,23.8
20201111-05:40,23.8
20201111-05:45,23.8
20201111-05:50,23.8
20201111-05:55,23.8
20201111-06:00,23.7
20201111-06:05,23.8
20201111-06:10,23.7
20201111-06:15,23.7
20201111-06:20,23.7
20201111-06:25,23.7
20201111-06:30,23.7
20201111-06:35,23.7
20201111-06:40,23.6
20201111-06:45,23.6
20201111-06:50,23.6
20201111-06:55,23.5
20201111-07:00,23.6
20201111-07:05,23.5
20201111-07:10,23.4
20201111-07:15,23.5
20201111-07:20,23.5
20201111-07:25,23.4
20201111-07:30,23.4
20201111-07:35,23.4
20201111-07:40,23.4
20201111-07:45,23.3
20201111-07:50,23.3
20201111-07:55,23.4
20201111-08:00,23.3
20201111-08:05,23.3
20201111-08:10,23.3
20201111-08:15,23.3
20201111-08:20,23.3
20201111-08:25,23.2
20201111-08:30,23.2
